feature,mean_abs_shap
Gene_LINC01451,0.3499594
Gene_CCL2,0.349038
Degrader_934_minus_Stable_1356,0.34752795
Gene_PKHD1L1,0.3465856
Degrader_981_minus_Stable_359,0.3451531
Gene_DACT2,0.3440351
Degrader_926_minus_Stable_1356,0.341218
Degrader_1097_minus_Stable_219,0.34003177
Gene_IGHG2,0.3398735
Gene_BTNL8,0.33786982
Gene_REG1B,0.33717078
Gene_OPRK1,0.33689526
Gene_GDNF,0.3361994
Degrader_93_minus_Stable_1373,0.33545306
Gene_TBC1D3L,0.32979864
Gene_E2F8,0.3296419
Gene_USP9Y,0.32949427
Gene_FGF5,0.32909912
Degrader_348_minus_Stable_1137,0.32850337
Gene_SOD2,0.32787985
Degrader_546_minus_Stable_766,0.32784244
Degrader_741_minus_Stable_1137,0.32713568
Degrader_15_minus_Stable_1283,0.32612982
Degrader_676_minus_Stable_658,0.32412285
Gene_NPSR1-AS1,0.32343143
Gene_TDGF1,0.32339942
Gene_IBSP,0.32269573
Gene_RP11-467J12.4,0.32149905
Degrader_573_minus_Stable_1065,0.31789586
Gene_C2CD4B,0.31745118
Gene_SPOCK3,0.31640697
Degrader_1344_minus_Stable_548,0.31483483
Gene_MRPL23-AS1,0.3138137
Gene_HBG2,0.3136493
Gene_MUC7,0.31273326
Gene_C8orf22,0.3113571
Gene_PGC,0.31103185
Degrader_743_minus_Stable_1362,0.3097133
Degrader_635_minus_Stable_1137,0.30858597
Gene_LRRN3,0.3082733
Gene_RP11-365F18.1,0.3075979
Degrader_1418_minus_Stable_476,0.30729046
Gene_CERKL,0.30401096
Gene_CEP55,0.3020116
Gene_CHI3L2,0.3014055
Degrader_981_minus_Stable_1362,0.29847008
Gene_ERBB3,0.2983041
Ratio_std,0.2980652
Gene_LCN15,0.29691738
Degrader_701_minus_Stable_548,0.29623288
Degrader_434_minus_Stable_1262,0.29478574
Gene_BCAS1,0.29452166
Degrader_1324_minus_Stable_1475,0.2939349
Gene_CAPN8,0.2926056
Degrader_863_minus_Stable_729,0.2919738
Degrader_1416_minus_Stable_55,0.29078755
Degrader_456_minus_Stable_766,0.28885245
Gene_TBC1D3D,0.28874642
Degrader_93_minus_Stable_220,0.28867462
Degrader_482_minus_Stable_729,0.28721622
Degrader_625_minus_Stable_1065,0.28717387
Degrader_57_minus_Stable_213,0.28708336
Degrader_828_minus_Stable_359,0.28646392
Degrader_93_minus_Stable_359,0.2836982
Degrader_1088_minus_Stable_280,0.28286684
Gene_NPIPB15,0.28204012
Degrader_934_minus_Stable_1246,0.28117642
Degrader_640_minus_Stable_1065,0.2809926
Degrader_1087_minus_Stable_476,0.2806952
Gene_RP11-506F3.1,0.28016564
Degrader_554_minus_Stable_1373,0.27864593
Gene_SHISA2,0.27861992
Gene_OGN,0.27802575
Degrader_422_minus_Stable_1356,0.27791294
Gene_LINC00402,0.27785662
Degrader_934_minus_Stable_240,0.27689826
Gene_HSD3B2,0.27588084
Gene_HEPHL1,0.27579018
Degrader_1418_minus_Stable_101,0.27560222
Gene_FBP2,0.2753808
Gene_HS6ST3,0.2753608
Degrader_1454_minus_Stable_476,0.27501288
Degrader_385_minus_Stable_548,0.2747908
Degrader_1146_minus_Stable_101,0.27474728
Gene_IGKJ2,0.27473497
Gene_CMA1,0.27381516
Degrader_554_minus_Stable_1262,0.2725117
Degrader_864_minus_Stable_729,0.2716777
Degrader_1239_minus_Stable_658,0.271136
Gene_IGLV1-44,0.27088502
Gene_PCSK1N,0.27047664
Gene_MYLK3,0.26962468
Gene_VSIG4,0.2691671
Gene_TNNT2,0.26793355
Degrader_573_minus_Stable_1362,0.26753017
Gene_CYP1A1,0.2670079
Gene_AKR1C2,0.2666924
Degrader_741_minus_Stable_1475,0.2665893
Degrader_625_minus_Stable_27,0.26638982
Gene_FGF6,0.26574656
Gene_CTD-3064M3.7,0.26534444
Gene_NPTX1,0.2651706
Gene_ANTXRL,0.264027
Degrader_1418_minus_Stable_213,0.26379913
Degrader_1028_minus_Stable_1065,0.26335725
Degrader_663_minus_Stable_548,0.2632831
Degrader_625_minus_Stable_240,0.26300967
Degrader_967_minus_Stable_1307,0.26069543
Degrader_176_minus_Stable_1356,0.25994328
Degrader_1146_minus_Stable_1356,0.25910878
Gene_GTSF1,0.2589811
Degrader_110_minus_Stable_219,0.25895593
Degrader_110_minus_Stable_1137,0.2586712
Degrader_434_minus_Stable_1246,0.258002
Degrader_1418_minus_Stable_119,0.25773895
Degrader_663_minus_Stable_1491,0.25724787
Gene_EN2,0.25701118
Degrader_644_minus_Stable_359,0.25623503
Degrader_1048_minus_Stable_1356,0.2555493
Degrader_1344_minus_Stable_256,0.2552241
Gene_SLC7A10,0.254838
Degrader_926_minus_Stable_1137,0.25464743
Degrader_640_minus_Stable_213,0.2544372
Gene_RP5-961K14.1,0.25443533
Gene_IGKC,0.25440687
Gene_MT-TI,0.25344312
Gene_MYL7,0.2534271
