feature,mean_abs_shap
Degrader_1177_minus_Stable_1044,0.17409621
Degrader_1177_minus_Stable_588,0.17391701
Degrader_250_minus_Stable_1044,0.17333147
Gene_RP11-429A20.3,0.17214565
Degrader_250_minus_Stable_1413,0.17203274
Gene_F2RL3,0.17134364
Degrader_33_minus_Stable_1464,0.17073336
Degrader_976_minus_Stable_644,0.16984841
Degrader_308_minus_Stable_807,0.16967167
Gene_HIST1H2BG,0.16923276
Degrader_1328_minus_Stable_807,0.16892757
Gene_HLA-T,0.16888437
Gene_IGLV1-40,0.1687077
Degrader_322_minus_Stable_766,0.16859333
Degrader_921_minus_Stable_1258,0.16820759
Gene_KRT4,0.16796266
Degrader_1328_minus_Stable_1044,0.16788897
Degrader_362_minus_Stable_528,0.16756707
Gene_KLK13,0.16746755
Degrader_1289_minus_Stable_1044,0.16736664
Gene_IGKV1D-13,0.16720061
Degrader_833_minus_Stable_766,0.16693522
Degrader_1289_minus_Stable_1015,0.1660775
Gene_S100A12,0.1651746
Gene_ALOX15B,0.16516265
Degrader_492_minus_Stable_1043,0.16493449
Gene_NUTM2E,0.16483736
Gene_ARG1,0.16376966
Gene_UMODL1,0.1633033
Degrader_421_minus_Stable_1186,0.16310674
Gene_HAS2,0.16293904
Degrader_1112_minus_Stable_1066,0.16285051
Gene_CCL17,0.16259816
Gene_IGKV2D-24,0.16246837
Gene_DUOXA1,0.16209324
Gene_PRL,0.16203786
Gene_IGKV1-8,0.16173781
Degrader_160_minus_Stable_778,0.16157395
Degrader_353_minus_Stable_1413,0.1613359
Degrader_1215_minus_Stable_1186,0.16104972
Degrader_317_minus_Stable_982,0.16091849
Degrader_353_minus_Stable_903,0.16082318
Gene_CHIT1,0.16072355
Gene_IGHV3-72,0.16072035
Degrader_308_minus_Stable_584,0.16047232
Gene_IGHV4-31,0.16027708
Gene_KRT1,0.1601338
Gene_NPPB,0.15985526
Degrader_24_minus_Stable_1258,0.1593278
Degrader_410_minus_Stable_1413,0.15927947
Degrader_465_minus_Stable_1258,0.15925674
Degrader_631_minus_Stable_431,0.15894088
Gene_LINC00599,0.15883921
Degrader_543_minus_Stable_1043,0.15859815
Gene_ALDH3A1,0.15833268
Gene_TBC1D3L,0.15827684
Degrader_469_minus_Stable_1464,0.15813681
Gene_ALDH1L1,0.1575177
Gene_CHRM1,0.15740712
Degrader_554_minus_Stable_1066,0.1570463
Degrader_317_minus_Stable_584,0.15671486
Degrader_1289_minus_Stable_530,0.15661593
Gene_ITLN1,0.1563664
Degrader_888_minus_Stable_816,0.15634155
Gene_KB-1517D11.4,0.15634044
Gene_MYBPHL,0.156054
Gene_ARSEP1,0.15594256
Degrader_322_minus_Stable_644,0.15579168
Gene_NRAP,0.15548427
Gene_IGLV8-61,0.15546189
Degrader_492_minus_Stable_607,0.15538327
Degrader_543_minus_Stable_766,0.1551318
Gene_LINC01932,0.15463947
Gene_CCT8P1,0.15451027
Gene_CA1,0.15439528
Gene_RP11-79H23.3,0.15433708
Degrader_353_minus_Stable_766,0.15403323
Degrader_465_minus_Stable_1260,0.15385824
Degrader_613_minus_Stable_588,0.1537561
Degrader_322_minus_Stable_1066,0.15357798
Degrader_554_minus_Stable_176,0.15355498
Gene_XAGE2,0.15350445
Gene_RGR,0.1533077
Degrader_1134_minus_Stable_1495,0.15328786
Degrader_362_minus_Stable_903,0.15328237
Degrader_337_minus_Stable_1186,0.15316848
Degrader_362_minus_Stable_1464,0.15315016
Gene_RHAG,0.15296489
Gene_CTC-490G23.2,0.15283349
Gene_SYT13,0.15278286
Gene_ANKRD62,0.15277955
Degrader_24_minus_Stable_846,0.15275131
Degrader_940_minus_Stable_431,0.152717
Degrader_535_minus_Stable_1066,0.15259418
Gene_RP11-84C10.2,0.15169746
Degrader_295_minus_Stable_982,0.15150385
Gene_EPPIN,0.15099493
Degrader_177_minus_Stable_644,0.15097259
Gene_PEBP4,0.15070014
Gene_HBB,0.15044115
Degrader_322_minus_Stable_1258,0.14997888
Degrader_893_minus_Stable_584,0.14996988
Degrader_353_minus_Stable_1066,0.149761
Gene_GCNT3,0.14945881
Degrader_61_minus_Stable_955,0.1493358
Gene_PRR18,0.14928141
Gene_KCNG3,0.14885078
Gene_RPS4Y1,0.14883329
Gene_ADGRF4,0.14830051
Gene_NR1H4,0.14793575
Degrader_135_minus_Stable_846,0.14769356
Degrader_493_minus_Stable_903,0.14748038
Gene_CD1E,0.14729042
Degrader_535_minus_Stable_807,0.14726451
Degrader_227_minus_Stable_528,0.14710619
Degrader_613_minus_Stable_1066,0.14709939
Gene_EPGN,0.1468646
Gene_FDCSP,0.14636311
Degrader_218_minus_Stable_1178,0.14632998
Gene_KRT17,0.14618447
Degrader_250_minus_Stable_644,0.14612426
Gene_IGKJ4,0.14587936
Degrader_447_minus_Stable_778,0.14540225
Degrader_543_minus_Stable_588,0.14460742
Gene_IGLC1,0.14447108
Gene_RPL13AP17,0.14402166
Degrader_156_minus_Stable_1043,0.14371702
Gene_PGA5,0.14292958
Degrader_598_minus_Stable_431,0.14290874
Gene_IGHV3-15,0.1429074
Degrader_227_minus_Stable_1066,0.14260948
Degrader_155_minus_Stable_807,0.14250994
Gene_RP11-469H8.6,0.14221254
Gene_ATP13A4-AS1,0.14208691
Gene_GRID2,0.14177938
Gene_SERTM1,0.14134139
Degrader_338_minus_Stable_530,0.14113264
Degrader_162_minus_Stable_530,0.14112224
Gene_FGG,0.14088804
Degrader_250_minus_Stable_846,0.14083637
Degrader_714_minus_Stable_1186,0.1407852
Degrader_809_minus_Stable_1186,0.14063716
Gene_TMEM92,0.14062093
Degrader_317_minus_Stable_1258,0.14031884
Gene_HLA-U,0.14015998
Gene_IGHV3-64,0.14012054
Degrader_295_minus_Stable_1386,0.13953274
Degrader_893_minus_Stable_766,0.13947716
Gene_ALPPL2,0.13939725
Degrader_839_minus_Stable_1066,0.13920066
Degrader_608_minus_Stable_1043,0.13896346
Degrader_408_minus_Stable_607,0.13886096
Degrader_524_minus_Stable_584,0.13880222
Gene_LBP,0.13859394
Gene_IGKV1-9,0.1383729
Gene_CCDC17,0.1378006
Gene_ALB,0.13775015
Gene_IGLV2-18,0.13761702
Gene_CD1A,0.137525
Gene_CCL3L3,0.13743202
Gene_CA12,0.13733763
Gene_CD177,0.13711989
Degrader_1112_minus_Stable_1178,0.1366656
Degrader_535_minus_Stable_431,0.13660662
Gene_DEPDC1,0.13647619
Degrader_985_minus_Stable_955,0.13607045
Gene_CXCL13,0.13590483
Degrader_33_minus_Stable_903,0.13502856
Gene_IL1R2,0.13483593
Degrader_893_minus_Stable_1178,0.13433868
Gene_HTR3A,0.13427831
Gene_IGLV7-46,0.13406084
Degrader_608_minus_Stable_431,0.13401195
Gene_NR4A3,0.13327634
Degrader_135_minus_Stable_1066,0.13325022
Degrader_613_minus_Stable_955,0.13320524
Gene_MYOC,0.13276432
Degrader_976_minus_Stable_1066,0.1326051
Degrader_940_minus_Stable_528,0.13207309
Degrader_1112_minus_Stable_1413,0.13190544
Degrader_1289_minus_Stable_588,0.13113104
Degrader_976_minus_Stable_807,0.1308003
Gene_MIR205HG,0.13061735
Degrader_177_minus_Stable_903,0.13060199
Degrader_893_minus_Stable_530,0.13049309
Gene_CLDN8,0.13043778
Gene_IGKV2-28,0.13041398
Gene_GKN1,0.13029622
Gene_PI3,0.12971225
Gene_RP11-486A14.1,0.12961726
Gene_KLK3,0.12945127
Degrader_160_minus_Stable_1186,0.12924431
Degrader_338_minus_Stable_1066,0.12860546
Gene_GSG1L,0.12843782
Degrader_364_minus_Stable_1066,0.12818477
Degrader_976_minus_Stable_1178,0.1274313
Gene_RP11-616M22.5,0.12740454
Degrader_968_minus_Stable_1178,0.12737621
Degrader_413_minus_Stable_1386,0.12711225
Degrader_408_minus_Stable_778,0.12697503
Gene_FAM181A,0.12687655
Degrader_1289_minus_Stable_1178,0.12678921
Gene_ARHGAP40,0.12647825
Gene_ADH7,0.1261608
Degrader_362_minus_Stable_807,0.12589787
Gene_LINC01108,0.12585561
Degrader_809_minus_Stable_1495,0.12578575
Degrader_338_minus_Stable_860,0.12573428
Gene_RP11-87E22.2,0.12562303
Degrader_353_minus_Stable_955,0.12548016
Degrader_1040_minus_Stable_1043,0.12529415
Gene_GYG2P1,0.12506716
Gene_BMS1P10,0.12476766
Gene_IGHV2-26,0.12474184
Degrader_893_minus_Stable_1044,0.12469182
Gene_LINC01835,0.124562114
Degrader_535_minus_Stable_1386,0.123816416
Gene_CD1B,0.12354083
Degrader_1289_minus_Stable_860,0.12335002
Degrader_218_minus_Stable_530,0.123306304
Degrader_447_minus_Stable_903,0.1225795
Gene_CYP4F11,0.12257005
Degrader_84_minus_Stable_1043,0.122567795
Gene_RP11-164O23.8,0.1225123
